imageName,lat,lng,dataTime,remark,上傳者,標註者,驗證者,標籤,createdAt,updatedAt,原本有無設置人行空間,保護性,原始總寬度－是否夠寬讓輪椅通行,佔用情形(多選)-導致兩人交會需停讓或淨寬<1.5米,行人被迫實際行走路徑中會碰到的最大動態風險,承受上題風險的頻率,使用目的,思源地圖類別-無須填寫,思源地圖名稱-無須填寫,imageUrl,_id,rank_a1,rank_b1,rank_c1
00001.jpg,24.8212888,121.0248917,2022-10-22 20:00:00,,6220a7e810be1548e5c8d09a_中梅 韓,5e748a1d4894f400bb0cf7df_哈爸,63b29f74181b962669dffd90_Amber Chen,符合規定,2022-10-23 7:35:17,2023-01-02 17:12:05,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅可以通行（寬於100公分）,,有機車行駛,總是如此(100%~95%),休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63547e354f042e0713951435.jpg,63547e354f042e0713951435,6.4,4,4
00002.jpg,24.82131314,121.0246798,2022-10-22 18:34:00,,6220a7e810be1548e5c8d09a_中梅 韓,6382cf3ad8489c66ec0a5947_SHU LIAN LEE,,符合規定,2022-10-23 8:08:34,2022-11-27 11:13:12,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅可以通行（寬於100公分）,,有機車行駛,常如此(79~50%),親子活動|通學|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/635486024f042ef94f951437.jpg,635486024f042ef94f951437,6.4,4,4
00003.jpg,24.74121944,121.0849528,2022-10-23 9:54:00,,6220a7e810be1548e5c8d09a_中梅 韓,63aaba694ee1ac5fdf6327b9_SWL,,一地多樣,2022-10-23 12:37:35,2022-12-27 17:41:20,有人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,,無車輛行駛,總是如此(100%~95%),通學|親子活動,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/6354c50f4f042e1fce951438.jpg,6354c50f4f042e1fce951438,10,10,10
00004.jpg,24.79722778,120.9962917,2022-10-23 9:08:00,,6220a7e810be1548e5c8d09a_中梅 韓,63a8fd9b4ee1aca5f6632785_阿軒,,符合規定,2022-10-23 12:39:25,2022-12-27 8:47:02,有人行道或騎樓,實體人行道(有實體分隔),輪椅可以通行（寬於100公分）,,有機車行駛,總是如此(100%~95%),通學|採購食物|採購日用|工作,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/6354c57d4f042e531995143a.jpg,6354c57d4f042e531995143a,6.4,4,4
00005.jpg,24.79829444,120.9974278,2022-10-23 9:08:00,,6220a7e810be1548e5c8d09a_中梅 韓,63ad27004ee1ac2f84632863_堃鐘 徐,,嚴重風險,2022-10-23 12:40:08,2022-12-29 13:42:20,沒有人行道或騎樓,沒有人行道或騎樓,沒有人行道或騎樓,,有汽車行駛,總是如此(100%~95%),親子活動|通學|採購食物|採購日用|工作,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/6354c5a84f042e1f6c95143b.jpg,6354c5a84f042e1f6c95143b,0,-10,0
00006.jpg,24.79709722,120.996375,2022-10-23 8:52:00,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022-10-23 12:40:49,2022-10-23 12:40:49,有人行道或騎樓,實體人行道(有實體分隔),輪椅可以通行（寬於100公分）,,有機車行駛,偶爾如此(29~10%),通學|工作|休閒|親子活動,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/6354c5d14f042ea73495143c.jpg,6354c5d14f042ea73495143c,6.4,4,4
00007.jpg,24.79884444,120.9936528,2022-10-23 8:51:00,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022-10-23 12:41:33,2022-10-23 12:41:33,有人行道或騎樓,實體人行道(有實體分隔),輪椅無法通行（窄於100公分）,,有機車行駛,有時如此(49~30%),就醫、照護|通學|採購食物|採購日用|工作,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/6354c5fd4f042e221695143d.jpg,6354c5fd4f042e221695143d,5.4,1.5,2
00008.jpg,24.82173186,121.0259995,2022-10-22 19:39:00,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022-10-23 12:43:53,2022-10-23 12:43:53,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅無法通行（窄於100公分）,,無車輛行駛,總是如此(100%~95%),親子活動|通學|採購食物|採購日用|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/6354c6894f042e154e95143e.jpg,6354c6894f042e154e95143e,9,7.5,5
00009.jpg,24.82127906,121.0259593,2022-10-22 19:36:00,,6220a7e810be1548e5c8d09a_中梅 韓,63a8fd9b4ee1aca5f6632785_阿軒,,,2022-10-23 12:53:22,2022-12-27 8:47:47,沒有設置人行道或騎樓,沒有人行道或騎樓,沒有人行道或騎樓,,有汽車行駛,總是如此(100%~95%),採購日用|採購食物|通學|親子活動|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/6354c8c24f042e178f95143f.jpg,6354c8c24f042e178f95143f,0,-10,0
00010.jpg,24.73577778,121.0885306,2022-10-23 9:25:00,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022-10-23 12:58:52,2022-10-23 12:58:52,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,,有汽車行駛,總是如此(100%~95%),親子活動|通學|採購日用|工作,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/6354ca0c4f042e92f9951440.jpg,6354ca0c4f042e92f9951440,4,0,0
00011.jpg,24.82116223,121.0248764,2022-10-23 17:09:00,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022-10-23 17:10:15,2022-10-23 17:10:15,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅可以通行（寬於100公分）,,有機車行駛,常如此(79~50%),親子活動|通學|採購食物|採購日用|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/635504f74f042e7d59951441.jpg,635504f74f042e7d59951441,6.4,4,4
00012.jpg,24.82134779,121.0248653,2022-10-23 17:11:00,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022-10-23 17:12:09,2022-10-23 17:12:09,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅可以通行（寬於100公分）,,有機車行駛,常如此(79~50%),親子活動|通學|採購食物|採購日用|工作|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/635505694f042e3bc8951442.jpg,635505694f042e3bc8951442,6.4,4,4
00013.jpg,24.82125833,121.0249639,2022-10-23 18:40:00,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022-10-24 16:18:28,2022-10-24 16:18:28,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅可以通行（寬於100公分）,,有機車行駛,通常如此(94~80%),親子活動|通學|採購食物|採購日用|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63564a544f042e8447951444.jpg,63564a544f042e8447951444,6.4,4,4
00014.jpg,24.8205244,121.0266923,2022-10-24 17:10:00,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022-10-24 17:11:16,2022-10-24 17:11:16,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅可以通行（寬於100公分）,,有機車行駛,通常如此(94~80%),親子活動|採購食物|通學|採購日用|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/635656b44f042e0fca951445.jpg,635656b44f042e0fca951445,6.4,4,4
00015.jpg,24.8211059,121.0250147,2022-10-24 17:44:00,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022-10-24 17:45:19,2022-10-24 17:45:19,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅可以通行（寬於100公分）,,有機車行駛,通常如此(94~80%),親子活動|採購食物|休閒|採購日用|通學,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63565eaf4f042e7cc3951446.jpg,63565eaf4f042e7cc3951446,6.4,4,4
00016.jpg,24.82169724,121.0254367,2022-10-24 19:22:00,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022-10-24 19:23:55,2022-10-24 19:23:55,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅可以通行（寬於100公分）,,無車輛行駛,總是如此(100%~95%),親子活動|通學|採購食物|採購日用|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/635675cb4f042e2a21951447.jpg,635675cb4f042e2a21951447,10,10,10
00017.jpg,24.82149678,121.0247555,2022-10-24 19:26:00,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022-10-24 19:26:43,2022-10-24 19:26:43,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅無法通行（窄於100公分）,,有機車行駛,常如此(79~50%),親子活動|通學|休閒|採購食物|採購日用,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/635676734f042e7bf5951448.jpg,635676734f042e7bf5951448,5.4,1.5,2
00018.jpg,24.81897084,121.0250195,2022-10-24 19:34:00,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022-10-24 19:34:41,2022-10-24 20:07:59,沒有設置人行道或騎樓,沒有人行道或騎樓,沒有人行道或騎樓,,無人行道或騎樓,總是如此(100%~95%),親子活動|通學|採購日用|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/635678514f042e73b095144c.jpg,635678514f042e73b095144c,0,-10,0
00019.jpg,24.74762366,121.0835937,2022-10-24 19:49:00,,6220a7e810be1548e5c8d09a_中梅 韓,63a8fd9b4ee1aca5f6632785_阿軒,,,2022-10-24 19:50:09,2022-12-27 8:50:20,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅可以通行（寬於100公分）,,無車輛行駛,總是如此(100%~95%),親子活動|通學|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63567bf14f042e03f895144d.jpg,63567bf14f042e03f895144d,10,10,10
00020.jpg,24.74787096,121.0833886,2022-10-24 19:51:00,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022-10-24 19:52:03,2022-10-24 20:07:47,沒有設置人行道或騎樓,沒有人行道或騎樓,沒有人行道或騎樓,,無人行道或騎樓,常如此(79~50%),親子活動|通學|採購食物|採購日用|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63567c634f042e11a395144e.jpg,63567c634f042e11a395144e,0,-10,0
00021.jpg,24.78081221,121.0593796,2022-10-24 20:57:00,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022-10-24 20:59:55,2022-10-24 20:59:55,沒有設置人行道或騎樓,沒有人行道或騎樓,沒有人行道或騎樓,,有汽車行駛,總是如此(100%~95%),親子活動|通學|採購食物|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63568c4b4f042e23da951450.jpg,63568c4b4f042e23da951450,0,-10,0
00022.jpg,24.83597242,121.0178375,2022-10-24 21:06:00,,6220a7e810be1548e5c8d09a_中梅 韓,63a8fd9b4ee1aca5f6632785_阿軒,,符合規定,2022-10-24 21:07:30,2022-12-27 8:39:43,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅可以通行（寬於100公分）,,無車輛行駛,總是如此(100%~95%),親子活動|通學|採購食物|採購日用|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63568e124f042e3123951451.jpg,63568e124f042e3123951451,10,10,10
00023.jpg,24.73336496,121.0884547,2022-10-25 9:59:00,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022-10-25 10:00:12,2022-10-25 11:12:47,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,私人佔用（商家、住家）|私人佔用（臨時停車）,有汽車行駛,總是如此(100%~95%),通學,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/6357432c4f042e15ff951453.jpg,6357432c4f042e15ff951453,2.6,-7,0
00024.jpg,24.73386991,121.0885417,2022-10-25 10:01:00,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022-10-25 10:02:00,2022-10-25 10:02:00,沒有設置人行道或騎樓,沒有人行道或騎樓,沒有人行道或騎樓,,有汽車行駛,總是如此(100%~95%),親子活動|通學|採購食物,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/635743984f042e335e951454.jpg,635743984f042e335e951454,0,-10,0
00025.jpg,24.7347841,121.0885331,2022-10-25 10:03:00,,6220a7e810be1548e5c8d09a_中梅 韓,63a8fd9b4ee1aca5f6632785_阿軒,,符合規定,2022-10-25 10:04:22,2022-12-27 8:50:13,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅可以通行（寬於100公分）,,無車輛行駛,總是如此(100%~95%),親子活動|通學,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/635744264f042eaeec951455.jpg,635744264f042eaeec951455,10,10,10
00026.jpg,24.73589588,121.0886265,2022-10-25 10:06:00,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022-10-25 10:06:52,2022-10-25 10:06:52,沒有設置人行道或騎樓,沒有人行道或騎樓,沒有人行道或騎樓,,有汽車行駛,總是如此(100%~95%),親子活動|通學|採購食物,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/635744bc4f042e90d5951456.jpg,635744bc4f042e90d5951456,0,-10,0
00027.jpg,24.73648349,121.0886213,2022-10-25 10:07:00,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022-10-25 10:08:25,2022-10-25 10:08:25,有設置人行道或騎樓,騎樓,輪椅無法通行（窄於100公分）,,無車輛行駛,總是如此(100%~95%),親子活動|通學|採購食物,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/635745194f042e9b12951457.jpg,635745194f042e9b12951457,9,7.5,5
00028.jpg,24.73681545,121.088573,2022-10-25 10:09:00,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022-10-25 10:09:44,2022-10-25 10:09:44,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,,有機車行駛,通常如此(94~80%),採購食物|親子活動|通學|採購日用,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/635745684f042ee5bd951458.jpg,635745684f042ee5bd951458,6.4,4,4
00029.jpg,24.73724951,121.0880526,2022-10-25 10:10:00,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022-10-25 10:11:15,2022-10-25 10:11:15,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,,無車輛行駛,總是如此(100%~95%),親子活動|通學|就醫、照護|採購食物|採購日用|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/635745c34f042ecbeb951459.jpg,635745c34f042ecbeb951459,10,10,10
