fid,imageName,lat,lng,dataTime,remark,上傳者,標註者,驗證者,標籤,createdAt,updatedAt,原本有無設置人行空間,保護性,原始總寬度－是否夠寬讓輪椅通行,佔用情形(多選)-導致兩人交會需停讓或淨寬<1.5米,行人被迫實際行走路徑中會碰到的最大動態風險,承受上題風險的頻率,使用目的,思源地圖類別-無須填寫,思源地圖名稱-無須填寫,imageUrl,_id,rank_a1,rank_b1,rank_c1,COUNTYNAME,TOWNNAME,VILLNAME,村里全名,edu_Distance,hospital_Distance,near_edu,near_hospital
"1",00001.jpg,24.8212888,121.0248917,2022/10/22,,6220a7e810be1548e5c8d09a_中梅 韓,5e748a1d4894f400bb0cf7df_哈爸,63b29f74181b962669dffd90_Amber Chen,符合規定,2022/10/23,2023/01/02,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅可以通行（寬於100公分）,,有機車行駛,總是如此(100%~95%),休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/63547e354f042e0713951435.jpg,63547e354f042e0713951435,6.4,4,4,新竹縣,竹北市,十興里,新竹縣竹北市十興里,290.947186158889,9500.23939435753,"1","0"
"2",00002.jpg,24.82131314,121.0246798,2022/10/22,,6220a7e810be1548e5c8d09a_中梅 韓,6382cf3ad8489c66ec0a5947_SHU LIAN LEE,,符合規定,2022/10/23,2022/11/27,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅可以通行（寬於100公分）,,有機車行駛,常如此(79~50%),親子活動|通學|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/635486024f042ef94f951437.jpg,635486024f042ef94f951437,6.4,4,4,新竹縣,竹北市,十興里,新竹縣竹北市十興里,287.643975794726,9489.17567078254,"1","0"
"3",00003.jpg,24.74121944,121.0849528,2022/10/23,,6220a7e810be1548e5c8d09a_中梅 韓,63aaba694ee1ac5fdf6327b9_SWL,,一地多樣,2022/10/23,2022/12/27,有人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,,無車輛行駛,總是如此(100%~95%),通學|親子活動,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/6354c50f4f042e1fce951438.jpg,6354c50f4f042e1fce951438,10,10,10,新竹縣,竹東鎮,竹東里,新竹縣竹東鎮竹東里,36.1000478351713,20161.8834893404,"1","0"
"4",00004.jpg,24.79722778,120.9962917,2022/10/23,,6220a7e810be1548e5c8d09a_中梅 韓,63a8fd9b4ee1aca5f6632785_阿軒,,符合規定,2022/10/23,2022/12/27,有人行道或騎樓,實體人行道(有實體分隔),輪椅可以通行（寬於100公分）,,有機車行駛,總是如此(100%~95%),通學|採購食物|採購日用|工作,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/6354c57d4f042e531995143a.jpg,6354c57d4f042e531995143a,6.4,4,4,新竹市,東區,光明里,新竹市東區光明里,279.640335348217,11401.2639818768,"1","0"
"5",00005.jpg,24.79829444,120.9974278,2022/10/23,,6220a7e810be1548e5c8d09a_中梅 韓,63ad27004ee1ac2f84632863_堃鐘 徐,,嚴重風險,2022/10/23,2022/12/29,沒有人行道或騎樓,沒有人行道或騎樓,沒有人行道或騎樓,,有汽車行駛,總是如此(100%~95%),親子活動|通學|採購食物|採購日用|工作,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/6354c5a84f042e1f6c95143b.jpg,6354c5a84f042e1f6c95143b,0,-10,0,新竹市,東區,軍功里,新竹市東區軍功里,273.401145487108,11293.5587073511,"1","0"
"6",00006.jpg,24.79709722,120.996375,2022/10/23,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022/10/23,2022/10/23,有人行道或騎樓,實體人行道(有實體分隔),輪椅可以通行（寬於100公分）,,有機車行駛,偶爾如此(29~10%),通學|工作|休閒|親子活動,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/6354c5d14f042ea73495143c.jpg,6354c5d14f042ea73495143c,6.4,4,4,新竹市,東區,光明里,新竹市東區光明里,289.110859841015,11416.367388699,"1","0"
"7",00007.jpg,24.79884444,120.9936528,2022/10/23,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022/10/23,2022/10/23,有人行道或騎樓,實體人行道(有實體分隔),輪椅無法通行（窄於100公分）,,有機車行駛,有時如此(49~30%),就醫、照護|通學|採購食物|採購日用|工作,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/6354c5fd4f042e221695143d.jpg,6354c5fd4f042e221695143d,5.4,1.5,2,新竹市,東區,光明里,新竹市東區光明里,165.674968791964,11203.8296532619,"1","0"
"8",00008.jpg,24.82173186,121.0259995,2022/10/22,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022/10/23,2022/10/23,有設置人行道或騎樓,實體人行道(有實體分隔),輪椅無法通行（窄於100公分）,,無車輛行駛,總是如此(100%~95%),親子活動|通學|採購食物|採購日用|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/6354c6894f042e154e95143e.jpg,6354c6894f042e154e95143e,9,7.5,5,新竹縣,竹北市,十興里,新竹縣竹北市十興里,274.495705145105,9501.11870394178,"1","0"
"9",00009.jpg,24.82127906,121.0259593,2022/10/22,,6220a7e810be1548e5c8d09a_中梅 韓,63a8fd9b4ee1aca5f6632785_阿軒,,,2022/10/23,2022/12/27,沒有設置人行道或騎樓,沒有人行道或騎樓,沒有人行道或騎樓,,有汽車行駛,總是如此(100%~95%),採購日用|採購食物|通學|親子活動|休閒,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/6354c8c24f042e178f95143f.jpg,6354c8c24f042e178f95143f,0,-10,0,新竹縣,竹北市,十興里,新竹縣竹北市十興里,317.831216477855,9545.12911880933,"1","0"
"10",00010.jpg,24.73577778,121.0885306,2022/10/23,,6220a7e810be1548e5c8d09a_中梅 韓,,,,2022/10/23,2022/10/23,有設置人行道或騎樓,騎樓,輪椅可以通行（寬於100公分）,,有汽車行駛,總是如此(100%~95%),親子活動|通學|採購日用|工作,,,https://commutag.agawork.tw//static/upload/dataset/63528cc34f042e88cc951433/image/6354ca0c4f042e92f9951440.jpg,6354ca0c4f042e92f9951440,4,0,0,新竹縣,竹東鎮,東華里,新竹縣竹東鎮東華里,156.99304482965,20864.6986572571,"1","0"
